JourneyCode,HolidayType,Price,NumberOfPersons,Region,Transportation,Duration,Season,Accommodation,Hotel
306,Active,3498,2,Rhodes,Plane,14,July,FourStars,Hotel Paradise Beach - Rhodes
307,Recreation,2298,2,Rhodes,Plane,7,June,FourStars,Hotel Paradise Beach - Rhodes
308,Education,3098,2,Rhodes,Plane,14,September,FourStars,Hotel Paradise Beach - Rhodes
309,Education,2068,4,England,Car,14,June,HolidayFlat,H.Flat England
310,Language,3582,6,England,Car,21,July,HolidayFlat,H.Flat England
311,Language,2398,8,England,Car,14,August,HolidayFlat,H.Flat England
312,Recreation,2298,7,England,Car,14,September,HolidayFlat,H.Flat England
313,Recreation,3297,6,England,Car,21,July,HolidayFlat,H.Flat England
314,Education,3208,8,Ireland,Car,14,August,HolidayFlat,H.Flat Ireland
315,Language,2592,6,Ireland,Car,21,June,HolidayFlat,H.Flat Ireland
316,Language,2048,7,Ireland,Car,14,July,HolidayFlat,H.Flat Ireland
317,Recreation,2388,4,Ireland,Car,14,August,HolidayFlat,H.Flat Ireland
318,Recreation,2457,8,Ireland,Car,21,September,HolidayFlat,H.Flat Ireland
319,Education,2458,3,Scotland,Car,14,June,HolidayFlat,H.Flat Scotland
320,Language,3282,2,Scotland,Car,21,July,HolidayFlat,H.Flat Scotland
321,Language,3878,6,Scotland,Car,14,August,HolidayFlat,H.Flat Scotland
322,Recreation,2738,2,Scotland,Car,14,September,HolidayFlat,H.Flat Scotland
323,Recreation,2248,2,Scotland,Car,21,July,HolidayFlat,H.Flat Scotland
324,Education,1808,5,Wales,Car,14,June,HolidayFlat,H.Flat Wales
325,Language,3732,5,Wales,Car,21,July,HolidayFlat,H.Flat Wales
326,Language,2628,6,Wales,Car,14,August,HolidayFlat,H.Flat Wales
327,Recreation,1888,6,Wales,Car,14,September,HolidayFlat,H.Flat Wales
328,Recreation,3297,6,Wales,Car,21,July,HolidayFlat,H.Flat Wales
329,Bathing,1408,6,NorthSea,Car,14,June,HolidayFlat,H.Flat North Sea - Holland
330,Bathing,649,5,NorthSea,Car,7,July,HolidayFlat,H.Flat North Sea - Holland
331,Bathing,1478,3,NorthSea,Car,14,August,HolidayFlat,H.Flat North Sea - Holland
332,Active,1598,4,NorthSea,Car,14,July,HolidayFlat,H.Flat North Sea - Holland
333,Recreation,559,6,NorthSea,Train,7,August,HolidayFlat,H.Flat North Sea - Holland
334,Recreation,1198,3,NorthSea,Train,14,September,HolidayFlat,H.Flat North Sea - Holland
335,Active,514,5,NorthSea,Coach,7,June,HolidayFlat,H.Flat North Sea - Holland
336,Bathing,474,5,NorthSea,Car,3,June,HolidayFlat,H.Flat North Sea - Holland
337,Bathing,539,4,NorthSea,Car,3,May,HolidayFlat,H.Flat North Sea - Holland
338,Bathing,329,6,NorthSea,Car,3,June,HolidayFlat,H.Flat North Sea - Holland
339,Active,3280,4,Holland,Car,14,April,HolidayFlat,Park Gran Dorado - Holland
340,Active,790,2,Holland,Train,7,May,HolidayFlat,Park Gran Dorado - Holland
341,Active,2620,4,Holland,Train,14,June,HolidayFlat,Park Gran Dorado - Holland
342,Active,1900,5,Holland,Train,14,October,HolidayFlat,Park Gran Dorado - Holland
343,Recreation,2760,4,Holland,Train,14,July,HolidayFlat,Park Gran Dorado - Holland
344,Recreation,1580,6,Holland,Coach,7,August,HolidayFlat,Park Gran Dorado - Holland
345,Recreation,2468,2,Holland,Coach,14,September,HolidayFlat,Park Gran Dorado - Holland
346,Recreation,2780,4,Holland,Coach,14,July,HolidayFlat,Park Gran Dorado - Holland
347,Recreation,485,2,Holland,Coach,3,May,HolidayFlat,Park Gran Dorado - Holland
348,Recreation,735,4,Holland,Coach,4,June,HolidayFlat,Park Gran Dorado - Holland
349,Recreation,705,6,Holland,Coach,3,September,HolidayFlat,Park Gran Dorado - Holland
350,Bathing,1438,2,AdriaticSea,Car,14,June,TwoStars,Hotel Mexico - Adriatic Sea
351,Bathing,1375,3,AdriaticSea,Car,7,July,TwoStars,Hotel Tropic - Adriatic Sea
352,Bathing,1547,4,AdriaticSea,Car,14,August,TwoStars,Hotel Mexico - Adriatic Sea
353,Bathing,1238,2,AdriaticSea,Car,14,September,TwoStars,Hotel Mexico - Adriatic Sea
354,Bathing,2311,3,AdriaticSea,Car,14,August,TwoStars,Hotel Tropic - Adriatic Sea
355,Active,1193,3,AdriaticSea,Car,7,July,TwoStars,Hotel Sporting - Adriatic Sea
356,Recreation,1758,2,AdriaticSea,Car,21,May,TwoStars,Hotel Sporting - Adriatic Sea
357,Bathing,1678,2,AdriaticSea,Car,14,July,ThreeStars,Hotel Nautilus - Adriatic Sea
358,Bathing,1349,4,AdriaticSea,Car,7,August,ThreeStars,Hotel Nautilus - Adriatic Sea
359,Recreation,1278,2,AdriaticSea,Car,14,June,ThreeStars,Hotel Nautilus - Adriatic Sea
360,Bathing,679,6,AdriaticSea,Car,7,June,HolidayFlat,H.Flat Adriatic Sea
361,Bathing,699,4,AdriaticSea,Car,7,July,HolidayFlat,H.Flat Adriatic Sea
362,Bathing,1139,5,AdriaticSea,Car,7,August,HolidayFlat,H.Flat Adriatic Sea
363,Bathing,439,6,AdriaticSea,Car,14,September,HolidayFlat,H.Flat Adriatic Sea
364,Bathing,598,2,AdriaticSea,Car,14,May,HolidayFlat,H.Flat Adriatic Sea
365,Bathing,1538,3,AdriaticSea,Car,14,July,HolidayFlat,H.Flat Adriatic Sea
366,Active,998,4,AdriaticSea,Car,14,June,HolidayFlat,H.Flat Adriatic Sea
367,Active,1359,8,AdriaticSea,Car,7,August,HolidayFlat,H.Flat Adriatic Sea
368,Recreation,798,3,AdriaticSea,Car,14,September,HolidayFlat,H.Flat Adriatic Sea
369,Recreation,399,6,AdriaticSea,Car,7,June,HolidayFlat,H.Flat Adriatic Sea
370,Recreation,1608,2,LakeGarda,Car,14,May,TwoStars,Hotel Palme - Lake Garda
371,Recreation,1838,2,LakeGarda,Car,14,June,TwoStars,Hotel Marco Polo - Lake Garda
372,Recreation,1593,4,LakeGarda,Car,7,July,TwoStars,Hotel Palme - Lake Garda
373,Bathing,2897,3,LakeGarda,Car,14,August,ThreeStars,Hotel Excelsior Bay - Lake Garda
374,Active,1098,2,LakeGarda,Car,7,September,ThreeStars,Hotel Excelsior Bay - Lake Garda
375,Active,2897,3,LakeGarda,Car,14,June,ThreeStars,Hotel Royal - Lake Garda
376,Wandering,5497,3,LakeGarda,Car,21,July,ThreeStars,Hotel Royal - Lake Garda
377,Recreation,2118,2,LakeGarda,Car,14,September,FourStars,Hotel Olimpo - Lake Garda
378,Recreation,3138,2,LakeGarda,Car,21,May,FourStars,Hotel Olimpo - Lake Garda
379,Wandering,3678,3,LakeGarda,Car,14,July,FourStars,Hotel Leonardo - Lake Garda
380,Recreation,798,4,LakeGarda,Car,14,May,HolidayFlat,H.Flat Gardasee - Italy
381,Recreation,1398,5,LakeGarda,Car,14,June,HolidayFlat,H.Flat Gardasee - Italy
382,Recreation,479,6,LakeGarda,Car,7,July,HolidayFlat,H.Flat Gardasee - Italy
383,Recreation,624,2,LakeGarda,Car,7,August,HolidayFlat,H.Flat Gardasee - Italy
384,Active,579,3,LakeGarda,Car,7,September,HolidayFlat,H.Flat Gardasee - Italy
385,Active,884,6,LakeGarda,Car,7,July,HolidayFlat,H.Flat Gardasee - Italy
386,Active,928,2,LakeGarda,Car,14,June,HolidayFlat,H.Flat Gardasee - Italy
387,Bathing,1099,3,LakeGarda,Car,7,August,HolidayFlat,H.Flat Gardasee - Italy
388,Wandering,599,4,LakeGarda,Car,7,September,HolidayFlat,H.Flat Gardasee - Italy
389,Wandering,1078,2,LakeGarda,Car,14,June,HolidayFlat,H.Flat Gardasee - Italy
390,Bathing,1178,2,Riviera,Car,14,July,OneStar,Hotel Tritone - Ital. Riviera
391,Bathing,622,3,Riviera,Car,7,August,OneStar,Hotel Tritone - Ital. Riviera
392,Recreation,648,2,Riviera,Car,7,April,TwoStars,Hotel Al Sole - Ital. Riviera
393,Recreation,1508,2,Riviera,Car,14,June,TwoStars,Hotel Al Sole - Ital. Riviera
394,Bathing,747,3,Riviera,Car,7,September,TwoStars,Hotel La Vela - Ital. Riviera
395,Bathing,2222,4,Riviera,Car,14,July,TwoStars,Hotel La Vela - Ital. Riviera
396,Bathing,869,5,Riviera,Car,7,July,HolidayFlat,H.Flat Riviera - Italy
397,Bathing,484,3,Riviera,Car,7,August,HolidayFlat,H.Flat Riviera - Italy
398,Bathing,599,2,Riviera,Car,14,September,HolidayFlat,H.Flat Riviera - Italy
399,Bathing,2678,4,Riviera,Car,14,August,HolidayFlat,H.Flat Riviera - Italy
400,Bathing,1738,3,Riviera,Car,14,July,HolidayFlat,H.Flat Riviera - Italy
401,Recreation,429,6,Riviera,Car,7,June,HolidayFlat,H.Flat Riviera - Italy
402,Recreation,1088,6,Riviera,Car,14,May,HolidayFlat,H.Flat Riviera - Italy
403,Active,529,4,Riviera,Car,7,June,HolidayFlat,H.Flat Riviera - Italy
404,Active,1588,2,Riviera,Car,14,July,HolidayFlat,H.Flat Riviera - Italy
405,Wandering,1258,2,Tyrol,Car,14,June,TwoStars,Pension garni Toni - South Tyrol
406,Recreation,822,3,Tyrol,Car,7,May,TwoStars,Pension garni Toni - South Tyrol
407,Wandering,1499,3,Tyrol,Car,14,July,ThreeStars,Hotel Untersteinerhof - South Tyrol
408,Wandering,718,2,Tyrol,Car,7,September,ThreeStars,Hotel Untersteinerhof - South Tyrol
409,Recreation,1528,2,Tyrol,Car,14,August,ThreeStars,Gasthof Adler - South Tyrol
410,Active,798,2,Tyrol,Car,7,July,ThreeStars,Gasthof Adler - South Tyrol
411,Wandering,1479,3,Tyrol,Car,7,June,FourStars,Posthotel Weisses Roessel - South Tyrol
412,Wandering,2658,2,Tyrol,Car,14,July,FourStars,Posthotel Weisses Roessel - South Tyrol
413,Recreation,1997,4,Tyrol,Car,7,September,FourStars,Hotel Nido - South Tyrol
414,Recreation,2888,2,Tyrol,Car,14,June,FourStars,Hotel Nido - South Tyrol
415,Wandering,439,4,Tyrol,Car,7,June,HolidayFlat,H.Flat Tirol - Italy
416,Wandering,319,3,Tyrol,Car,7,July,HolidayFlat,H.Flat Tirol - Italy
417,Recreation,769,6,Tyrol,Car,7,August,HolidayFlat,H.Flat Tirol - Italy
418,Recreation,1398,4,Tyrol,Car,14,September,HolidayFlat,H.Flat Tirol - Italy
419,Active,559,4,Tyrol,Car,7,May,HolidayFlat,H.Flat Tirol - Italy
420,Language,2039,1,Malta,Plane,21,September,TwoStars,Sprachkurs - Malta
421,Language,4078,2,Malta,Plane,21,July,TwoStars,Sprachkurs - Malta
422,Language,1539,1,Malta,Plane,14,August,TwoStars,Sprachkurs - Malta
423,Bathing,1598,2,Malta,Plane,14,June,TwoStars,Hotel Viking - Malta
424,Language,2039,1,Malta,Plane,21,September,ThreeStars,Sprachkurs - Malta
425,Bathing,3637,3,Malta,Plane,14,July,ThreeStars,Hotel Calypso - Malta
426,Bathing,4476,4,Malta,Plane,14,August,ThreeStars,Hotel Calypso - Malta
427,Bathing,4729,3,Malta,Plane,21,July,ThreeStars,Hotel Calypso - Malta
428,Active,3078,2,Malta,Plane,14,September,ThreeStars,Hotel Atlantis - Malta
429,Recreation,3518,2,Malta,Plane,21,May,ThreeStars,Hotel Atlantis - Malta
430,Bathing,4147,3,Malta,Plane,14,August,FourStars,Hotel Suncrest - Malta
431,Bathing,3978,2,Malta,Plane,21,June,FourStars,Hotel Suncrest - Malta
432,Active,3267,4,Malta,Plane,7,July,FourStars,Hotel Suncrest - Malta
433,Active,4391,3,Malta,Plane,14,August,FourStars,Hotel Cornucopia - Malta
434,Recreation,3278,2,Malta,Plane,14,May,FourStars,Hotel Cornucopia - Malta
435,Wandering,1008,2,Carinthia,Car,14,May,TwoStars,Pension Linde - Carinthia
436,Wandering,538,3,Carinthia,Car,7,June,TwoStars,Pension Linde - Carinthia
437,Recreation,1472,3,Carinthia,Car,14,July,TwoStars,Pension Seehof - Carinthia
438,Recreation,1438,2,Carinthia,Car,21,August,TwoStars,Pension Seehof - Carinthia
439,Wandering,1498,2,Carinthia,Car,14,September,ThreeStars,Aktivhotel Alte Muehle - Carinthia
440,Wandering,1326,5,Carinthia,Car,7,August,ThreeStars,Ferienhotel Eichenhof - Carinthia
441,Wandering,1247,3,Carinthia,Car,7,July,ThreeStars,Ferienhotel Eichenhof - Carinthia
442,Recreation,1058,2,Carinthia,Car,7,June,ThreeStars,Hotel Ebner - Carinthia
443,Recreation,1698,2,Carinthia,Car,14,May,ThreeStars,Hotel Ebner - Carinthia
444,Active,2572,3,Carinthia,Car,14,July,ThreeStars,Aktivhotel Alte Muehle - Carinthia
445,Wandering,499,4,Carinthia,Car,7,May,HolidayFlat,H.Flat Kaernten
446,Wandering,1049,6,Carinthia,Car,7,June,HolidayFlat,H.Flat Kaernten
447,Wandering,779,4,Carinthia,Car,7,July,HolidayFlat,H.Flat Kaernten
448,Wandering,1858,3,Carinthia,Car,14,August,HolidayFlat,H.Flat Kaernten
449,Recreation,1149,6,Carinthia,Car,7,September,HolidayFlat,H.Flat Kaernten
450,Recreation,559,3,Carinthia,Car,7,May,HolidayFlat,H.Flat Kaernten
451,Recreation,1073,2,Carinthia,Car,14,June,HolidayFlat,H.Flat Kaernten
452,Recreation,1358,3,Carinthia,Car,14,July,HolidayFlat,H.Flat Kaernten
453,Active,829,6,Carinthia,Car,7,August,HolidayFlat,H.Flat Kaernten
454,Active,579,4,Carinthia,Car,7,September,HolidayFlat,H.Flat Kaernten
455,Wandering,778,2,SalzbergerLand,Car,14,May,TwoStars,Pension Claudia - Salzb. Land
456,Recreation,418,2,SalzbergerLand,Car,7,June,TwoStars,Pension Claudia - Salzb. Land
457,Wandering,1572,3,SalzbergerLand,Car,14,July,ThreeStars,Hotel Tauernhof - Salzb. Land
458,Active,837,4,SalzbergerLand,Car,7,August,ThreeStars,Hotel Tauernhof - Salzb. Land
459,Wandering,718,2,SalzbergerLand,Car,7,September,ThreeStars,Gasthof Bachschmied - Salzb. Land
460,Recreation,2038,2,SalzbergerLand,Car,21,May,ThreeStars,Gasthof Bachschmied - Salzb. Land
461,Wandering,1538,3,SalzbergerLand,Car,14,June,FourStars,Hotel Eschbacher - Salzb. Land
462,Recreation,2322,3,SalzbergerLand,Car,14,July,FourStars,Hotel Eschbacher - Salzb. Land
463,Wandering,2127,4,SalzbergerLand,Car,7,August,FourStars,Hotel Norica - Salzb. Land
464,Active,2627,3,SalzbergerLand,Car,14,September,FourStars,Hotel Norica - Salzb. Land
465,Wandering,1798,2,SalzbergerLand,Car,7,July,FiveStars,Alpnerresidenz - Salzb. Land
466,Recreation,1518,2,SalzbergerLand,Car,7,June,FiveStars,Alpnerresidenz - Salzb. Land
467,Wandering,684,4,SalzbergerLand,Car,7,May,HolidayFlat,H.Flat Salzb. Land
468,Wandering,729,6,SalzbergerLand,Car,7,June,HolidayFlat,H.Flat Salzb. Land
469,Wandering,699,4,SalzbergerLand,Car,7,July,HolidayFlat,H.Flat Salzb. Land
470,Wandering,349,2,SalzbergerLand,Car,14,August,HolidayFlat,H.Flat Salzb. Land
471,Recreation,354,3,SalzbergerLand,Car,7,September,HolidayFlat,H.Flat Salzb. Land
472,Recreation,399,2,SalzbergerLand,Car,7,August,HolidayFlat,H.Flat Salzb. Land
473,Recreation,719,6,SalzbergerLand,Car,7,July,HolidayFlat,H.Flat Salzb. Land
474,Recreation,1223,4,SalzbergerLand,Car,14,June,HolidayFlat,H.Flat Salzb. Land
475,Active,484,3,SalzbergerLand,Car,7,July,HolidayFlat,H.Flat Salzb. Land
476,Active,1228,4,SalzbergerLand,Car,14,June,HolidayFlat,H.Flat Salzb. Land
477,Wandering,898,2,Styria,Car,14,June,TwoStars,Gasthof Mayer - Styria
478,Recreation,478,3,Styria,Car,7,May,TwoStars,Gasthof Mayer - Styria
479,Wandering,2372,3,Styria,Car,14,July,ThreeStars,Hotel Berghof - Styria
480,Wandering,1227,4,Styria,Car,7,August,ThreeStars,Hotel Berghof - Styria
481,Active,1578,2,Styria,Car,14,September,ThreeStars,Hotel Berghof - Styria
482,Wandering,847,3,Styria,Car,7,May,FourStars,Hotel Haeuserl am Wald - Styria
483,Recreation,678,2,Styria,Car,7,June,FourStars,Hotel Haeuserl am Wald - Styria
484,Wandering,379,2,Styria,Car,7,July,HolidayFlat,H.Flat Styria
485,Wandering,369,4,Styria,Car,7,August,HolidayFlat,H.Flat Styria
486,Wandering,708,2,Styria,Car,14,September,HolidayFlat,H.Flat Styria
487,Recreation,569,6,Styria,Car,7,August,HolidayFlat,H.Flat Styria
488,Recreation,379,4,Styria,Car,7,July,HolidayFlat,H.Flat Styria
489,Recreation,429,4,Styria,Car,7,June,HolidayFlat,H.Flat Styria
490,Recreation,348,2,Styria,Car,14,May,HolidayFlat,H.Flat Styria
491,Active,909,4,Styria,Car,7,July,HolidayFlat,H.Flat Styria
492,Wandering,548,2,Tyrol,Car,7,May,OneStar,Gasthof Edelweiss - Tyrol
493,Wandering,685,3,Tyrol,Car,7,June,OneStar,Gasthof Edelweiss - Tyrol
494,Wandering,897,4,Tyrol,Car,7,July,TwoStars,Gasthof Post - Tyrol
495,Wandering,2322,3,Tyrol,Car,14,August,TwoStars,Pension Tannenhof - Tyrol
496,Recreation,698,2,Tyrol,Car,7,September,TwoStars,Gasthof Sonne - Tyrol
497,Wandering,798,2,Tyrol,Car,7,August,ThreeStars,Gasthof Panorama - Tyrol
498,Wandering,1808,2,Tyrol,Car,14,July,ThreeStars,Gasthof Panorama - Tyrol
499,Recreation,1972,3,Tyrol,Car,14,June,ThreeStars,Ferienhotel Neuwirt - Tyrol
500,Active,818,2,Tyrol,Car,7,June,ThreeStars,Ferienhotel Neuwirt - Tyrol
501,Wandering,738,2,Tyrol,Car,7,May,FourStars,Hotel Wastlhof - Tyrol
502,Wandering,3267,4,Tyrol,Car,14,July,FourStars,Hotel Klausen - Tyrol
503,Recreation,1571,5,Tyrol,Car,7,August,FourStars,Hotel Unterwirt - Tyrol
504,Wandering,1198,2,Tyrol,Car,7,September,FiveStars,Hotel Alpenresidence - Tyrol
505,Recreation,1847,3,Tyrol,Car,7,July,FiveStars,Hotel Alpenresidence - Tyrol
506,Active,3098,3,Tyrol,Car,14,August,FiveStars,Aparthotel Hopfgarten
507,Wandering,449,3,Tyrol,Car,7,May,HolidayFlat,H.Flat Tyrol
508,Wandering,654,5,Tyrol,Car,7,June,HolidayFlat,H.Flat Tyrol
509,Wandering,539,4,Tyrol,Car,7,July,HolidayFlat,H.Flat Tyrol
510,Wandering,609,5,Tyrol,Car,7,August,HolidayFlat,H.Flat Tyrol
511,Wandering,484,2,Tyrol,Car,7,September,HolidayFlat,H.Flat Tyrol
512,Wandering,789,6,Tyrol,Car,7,August,HolidayFlat,H.Flat Tyrol
513,Wandering,838,3,Tyrol,Car,14,July,HolidayFlat,H.Flat Tyrol
514,Wandering,728,2,Tyrol,Car,14,June,HolidayFlat,H.Flat Tyrol
515,Recreation,729,5,Tyrol,Car,7,May,HolidayFlat,H.Flat Tyrol
516,Recreation,849,6,Tyrol,Car,7,June,HolidayFlat,H.Flat Tyrol
517,Recreation,494,3,Tyrol,Car,7,July,HolidayFlat,H.Flat Tyrol
518,Recreation,599,5,Tyrol,Car,7,August,HolidayFlat,H.Flat Tyrol
519,Recreation,688,2,Tyrol,Car,14,September,HolidayFlat,H.Flat Tyrol
520,Active,789,7,Tyrol,Car,7,June,HolidayFlat,H.Flat Tyrol
521,Active,1538,4,Tyrol,Car,14,July,HolidayFlat,H.Flat Tyrol
522,Bathing,2518,2,Algarve,Plane,14,May,TwoStars,Anlage Aldeia - Algarve
523,Bathing,2562,3,Algarve,Plane,14,June,TwoStars,Anlage Aldeia - Algarve
524,Active,2371,3,Algarve,Plane,7,July,TwoStars,Anlage Aldeia - Algarve
525,Bathing,3271,3,Algarve,Plane,21,September,ThreeStars,Hotel Tropico - Algarve
526,Bathing,3398,2,Algarve,Plane,14,August,ThreeStars,Hotel Tropico - Algarve
527,Bathing,2998,2,Algarve,Plane,14,June,ThreeStars,Hotel Tropico - Algarve
528,Bathing,4253,4,Algarve,Plane,7,July,ThreeStars,Hotel California - Algarve
529,Bathing,3758,2,Algarve,Plane,14,September,ThreeStars,Hotel California - Algarve
530,Active,4885,3,Algarve,Plane,14,June,ThreeStars,Hotel California - Algarve
531,Active,3958,2,Algarve,Plane,21,May,ThreeStars,Hotel California - Algarve
532,Active,2678,2,Algarve,Plane,7,July,ThreeStars,Eurotel Altura - Algarve
533,Recreation,3078,2,Algarve,Plane,14,April,ThreeStars,Eurotel Altura - Algarve
534,Recreation,2158,2,Algarve,Plane,7,October,ThreeStars,Eurotel Altura - Algarve
535,Bathing,3642,3,Algarve,Plane,14,July,FourStars,Hotel Neptuno - Algarve
536,Active,4533,4,Algarve,Plane,14,August,FourStars,Hotel Neptuno - Algarve
537,Bathing,3518,2,Madeira,Plane,14,June,TwoStars,Anlage Canico - Madeira
538,Bathing,3440,3,Madeira,Plane,14,July,TwoStars,Anlage Canico - Madeira
539,Bathing,4126,3,Madeira,Plane,21,August,TwoStars,Anlage Canico - Madeira
540,Active,3518,2,Madeira,Plane,14,September,TwoStars,Anlage Canico - Madeira
541,Bathing,3238,2,Madeira,Plane,14,June,ThreeStars,Hotel Mimosa - Madeira
542,Bathing,4091,4,Madeira,Plane,7,July,ThreeStars,Hotel Mimosa - Madeira
543,Bathing,4452,3,Madeira,Plane,21,September,ThreeStars,Hotel Mimosa - Madeira
544,Active,3598,2,Madeira,Plane,14,August,ThreeStars,Hotel Orca Praia - Madeira
545,Active,4438,2,Madeira,Plane,21,September,ThreeStars,Hotel Orca Praia - Madeira
546,Recreation,4318,2,Madeira,Plane,21,May,ThreeStars,Hotel Orca Praia - Madeira
547,Recreation,3318,2,Madeira,Plane,14,October,ThreeStars,Hotel Orca Praia - Madeira
548,Bathing,2922,3,Madeira,Plane,7,July,FourStars,Hotel Raga - Madeira
549,Bathing,5225,4,Madeira,Plane,14,August,FourStars,Hotel Raga - Madeira
550,Active,3989,2,Madeira,Plane,14,June,FourStars,Hotel Oasis Atlantic - Madeira
551,Active,3897,3,Madeira,Plane,7,July,FourStars,Hotel Oasis Atlantic - Madeira
552,Recreation,469,4,Sweden,Car,7,June,HolidayFlat,H.Flat Sweden
553,Recreation,799,6,Sweden,Car,7,July,HolidayFlat,H.Flat Sweden
554,Recreation,519,5,Sweden,Car,7,August,HolidayFlat,H.Flat Sweden
555,Recreation,539,4,Sweden,Car,7,September,HolidayFlat,H.Flat Sweden
556,Recreation,989,6,Sweden,Car,7,October,HolidayFlat,H.Flat Sweden
557,Recreation,649,6,Sweden,Car,7,August,HolidayFlat,H.Flat Sweden
558,Recreation,779,4,Sweden,Car,7,July,HolidayFlat,H.Flat Sweden
559,Recreation,1578,4,Sweden,Car,14,June,HolidayFlat,H.Flat Sweden
560,Recreation,1538,4,Sweden,Car,14,July,HolidayFlat,H.Flat Sweden
561,Recreation,1318,4,Sweden,Car,14,August,HolidayFlat,H.Flat Sweden
562,Recreation,1178,6,Sweden,Car,14,September,HolidayFlat,H.Flat Sweden
563,Wandering,639,6,Sweden,Car,7,June,HolidayFlat,H.Flat Sweden
564,Wandering,799,6,Sweden,Car,7,July,HolidayFlat,H.Flat Sweden
565,Wandering,789,4,Sweden,Car,7,August,HolidayFlat,H.Flat Sweden
566,Wandering,938,4,Sweden,Car,14,September,HolidayFlat,H.Flat Sweden
567,Wandering,764,3,Alps,Car,7,May,HolidayFlat,H.Flat Switzerland
568,Wandering,494,2,Alps,Car,7,June,HolidayFlat,H.Flat Switzerland
569,Wandering,989,6,Alps,Car,7,July,HolidayFlat,H.Flat Switzerland
570,Wandering,799,4,Alps,Car,7,August,HolidayFlat,H.Flat Switzerland
571,Wandering,839,2,Alps,Car,7,September,HolidayFlat,H.Flat Switzerland
572,Wandering,799,3,Alps,Car,7,June,HolidayFlat,H.Flat Switzerland
573,Wandering,779,6,Alps,Car,7,July,HolidayFlat,H.Flat Switzerland
574,Wandering,529,4,Alps,Car,7,August,HolidayFlat,H.Flat Switzerland
575,Wandering,858,3,Alps,Car,14,September,HolidayFlat,H.Flat Switzerland
576,Wandering,1303,4,Alps,Car,14,June,HolidayFlat,H.Flat Switzerland
577,Wandering,738,6,Alps,Car,14,May,HolidayFlat,H.Flat Switzerland
578,Wandering,908,2,Alps,Car,14,July,HolidayFlat,H.Flat Switzerland
579,Recreation,729,3,Alps,Car,7,May,HolidayFlat,H.Flat Switzerland
580,Recreation,779,6,Alps,Car,7,June,HolidayFlat,H.Flat Switzerland
581,Recreation,519,4,Alps,Car,7,July,HolidayFlat,H.Flat Switzerland
582,Recreation,1184,4,Alps,Car,7,August,HolidayFlat,H.Flat Switzerland
583,Recreation,629,2,Alps,Car,7,September,HolidayFlat,H.Flat Switzerland
584,Recreation,858,3,Alps,Car,14,June,HolidayFlat,H.Flat Switzerland
585,Recreation,1298,4,Alps,Car,14,July,HolidayFlat,H.Flat Switzerland
586,Recreation,1958,6,Alps,Car,14,August,HolidayFlat,H.Flat Switzerland
587,Bathing,1317,4,CostaBlanca,Car,7,August,TwoStars,Hotel Torre Dorada - Costa Blanca
588,Bathing,2800,3,CostaBlanca,Car,14,July,ThreeStars,Hotel Galetamar - Costa Blanca
589,Bathing,1058,2,CostaBlanca,Car,7,August,FourStars,Hotel Roca Esmeralda - Costa Blanca
590,Bathing,3222,3,CostaBlanca,Car,14,July,FourStars,Hotel Roca Esmeralda - Costa Blanca
591,Recreation,1014,10,CostaBlanca,Car,7,May,HolidayFlat,H.Flat Costa Blanca
592,Recreation,539,4,CostaBlanca,Car,14,June,HolidayFlat,H.Flat Costa Blanca
593,Active,1039,6,CostaBlanca,Car,7,July,HolidayFlat,H.Flat Costa Blanca
594,Active,678,4,CostaBlanca,Car,14,September,HolidayFlat,H.Flat Costa Blanca
595,Bathing,1039,8,CostaBlanca,Car,7,June,HolidayFlat,H.Flat Costa Blanca
596,Bathing,2324,12,CostaBlanca,Car,7,July,HolidayFlat,H.Flat Costa Blanca
597,Bathing,1229,2,CostaBlanca,Car,7,August,HolidayFlat,H.Flat Costa Blanca
598,Bathing,789,5,CostaBlanca,Car,7,September,HolidayFlat,H.Flat Costa Blanca
599,Bathing,649,3,CostaBlanca,Car,7,July,HolidayFlat,H.Flat Costa Blanca
600,Bathing,1259,3,CostaBlanca,Car,7,August,HolidayFlat,H.Flat Costa Blanca
601,Bathing,1038,4,CostaBlanca,Car,14,June,HolidayFlat,H.Flat Costa Blanca
602,Bathing,1798,4,CostaBlanca,Car,14,July,HolidayFlat,H.Flat Costa Blanca
603,Bathing,2038,8,CostaBlanca,Car,14,September,HolidayFlat,H.Flat Costa Blanca
604,Bathing,1998,2,CostaBrava,Car,14,June,TwoStars,Hotel La Huerta - Costa Brava
605,Bathing,2550,3,CostaBrava,Car,14,July,TwoStars,Hotel La Huerta - Costa Brava
606,Active,2696,3,CostaBrava,Car,21,August,TwoStars,Hotel Mar Eden - Costa Brava
607,Recreation,1558,2,CostaBrava,Car,7,September,TwoStars,Hotel Mar Eden - Costa Brava
608,Bathing,2518,2,CostaBrava,Car,14,June,ThreeStars,Hotel Surf Mar - Costa Brava
609,Bathing,6971,4,CostaBrava,Car,21,August,ThreeStars,Hotel Surf Mar - Costa Brava
610,Bathing,3099,3,CostaBrava,Car,14,July,ThreeStars,Hotel Surf Mar - Costa Brava
611,Bathing,1738,2,CostaBrava,Car,7,July,ThreeStars,Hotel Albatros - Costa Brava
612,Active,2198,2,CostaBrava,Car,14,June,ThreeStars,Hotel Albatros - Costa Brava
613,Recreation,2360,3,CostaBrava,Car,14,May,ThreeStars,Hotel Albatros - Costa Brava
